Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
56,Angela Ambrosi (ITA),2.0,1.0,,00:00,30,-2 m,RED,0.0,DQSP,Triple Depth 2008,Depth Competition,2008-06-10,other,2008-06-10,Angela Ambrosi,ITA,6,8,3,2
26,Anna Fomina (RUS),2.0,1.0,,00:00,5,5 m,RED,0.0,DQSP,Summer Gelendzhik 2013,Mixed Competition,2013-05-30,other,2013-05-30,Anna Fomina,RUS,5,2,1,2
12,Anna Iliadou (GRC),2.0,1.0,,00:00,41,29 m,RED,0.0,Dqother,Authentic Big Blue 2019,Depth Competition,2019-09-24,other,2019-09-24,Anna Iliadou,GRC,9,7,7,2
5,Anna Iliadou (GRC),2.0,1.0,,00:00,44,35 m,RED,0.0,"No tag,rp<ap,dqother",AIDA Triton Cup August - Calm Zone,Depth Competition,2021-08-29,other,2021-08-29,Anna Iliadou,GRC,8,13,13,2
5,Anna Von Boetticher (DEU),2.0,1.0,,00:00,50,50 m,RED,0.0,DQBO,Freediving World Competition,Depth Competition,2014-11-18,World Championship,2014-11-18,Anna Von Boetticher,DEU,11,38,10,0
12,Anna Von Boetticher (DEU),2.0,2.0,,00:00,50,50 m,RED,0.0,DQSP,FreedivingWorld Competition,Depth Competition,2015-05-25,World Championship,2015-05-25,Anna Von Boetticher,DEU,5,39,14,0
18,Anna Von Boetticher (DEU),2.0,1.0,,00:00,50,0 m,RED,0.0,DNS,Vertical Blue 2016,Mixed Competition,2016-04-26,VB,2016-04-26,Anna Von Boetticher,DEU,4,47,12,0
24,Anna Von Boetticher (DEU),2.0,1.0,,00:00,51,0 m,RED,0.0,DNS,Vertical Blue 2016,Mixed Competition,2016-04-28,VB,2016-04-28,Anna Von Boetticher,DEU,4,48,13,0
20,Anna Von Boetticher (DEU),2.0,1.0,,00:00,52,0 m,RED,0.0,DNS,Vertical Blue 2016,Mixed Competition,2016-05-02,VB,2016-05-02,Anna Von Boetticher,DEU,5,50,15,0
9,Anna Von Boetticher (DEU),2.0,1.0,,00:00,58,58 m,RED,0.0,DQ BO,Vertical Blue 2017,Depth Competition,2017-05-08,VB,2017-05-08,Anna Von Boetticher,DEU,5,54,18,0
35,Anna-Karina Schmitt (DEU),2.0,3.0,,00:00,31,5 m,RED,0.0,Dqsp,Swiss Championship Lake 2019,Depth Competition,2019-08-24,other,2019-08-24,Anna-Karina Schmitt,DEU,8,2,1,1
