Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline
6,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,30,30 m,WHITE,30.0,-,Deja Blue 8,Mixed Competition,2017-05-18,other,2017-05-18,Adriana Buechner De Freitas Brandao,BRA,5,18,5
10,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,60,60 m,WHITE,60.0,-,Deja Blue 8,Mixed Competition,2017-05-21,other,2017-05-21,Adriana Buechner De Freitas Brandao,BRA,5,19,9
6,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,57,57 m,WHITE,57.0,-,Deja Blue 9,Mixed Competition,2018-05-06,other,2018-05-06,Adriana Buechner De Freitas Brandao,BRA,5,20,10
7,Adriana Buechner De Freitas Brandao (BRA),2.0,2.0,,00:00,50,50 m,WHITE,50.0,-,Deja Blue 9,Mixed Competition,2018-05-07,other,2018-05-07,Adriana Buechner De Freitas Brandao,BRA,5,21,6
2,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,35,35 m,WHITE,35.0,-,Deja Blue 9,Mixed Competition,2018-05-09,other,2018-05-09,Adriana Buechner De Freitas Brandao,BRA,5,22,6
8,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,40,40 m,WHITE,40.0,-,Deja Blue 9,Mixed Competition,2018-05-11,other,2018-05-11,Adriana Buechner De Freitas Brandao,BRA,5,23,7
27,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,25,25 m,WHITE,25.0,OK,AIDA Cyprus Depth Games 2011,Depth Competition,2011-10-16,other,2011-10-16,Adriana Gabriela Bantu-Dinu,ROU,10,1,1
311,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,30,30 m,WHITE,30.0,OK,World Championship 2012,World Championship,2012-09-09,World Championship,2012-09-09,Adriana Gabriela Bantu-Dinu,ROU,9,2,2
41,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,31,31 m,WHITE,31.0,OK,AIDA CYPRUS Depth Games 2012,Depth Competition,2012-10-14,other,2012-10-14,Adriana Gabriela Bantu-Dinu,ROU,10,3,3
16,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,34,34 m,WHITE,34.0,OK,AIDA Cyprus Depth Day 2012,Depth Competition,2012-11-04,other,2012-11-04,Adriana Gabriela Bantu-Dinu,ROU,11,4,4
26,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,43,43 m,WHITE,43.0,OK,AIDA Cyprus Depth Games 2013,Depth Competition,2013-10-06,other,2013-10-06,Adriana Gabriela Bantu-Dinu,ROU,10,5,5
27,Adriana Gabriela Bantu-Dinu (ROU),2.0,2.0,,00:00,31,31 m,WHITE,31.0,OK,AIDA Cyprus Depth Games 2013,Depth Competition,2013-10-06,other,2013-10-06,Adriana Gabriela Bantu-Dinu,ROU,10,6,1
32,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,37,37 m,WHITE,37.0,OK,CYPRUS SUMMER GAMES 2014,Depth Competition,2014-06-29,other,2014-06-29,Adriana Gabriela Bantu-Dinu,ROU,6,7,6
33,Adriana Gabriela Bantu-Dinu (ROU),2.0,2.0,,00:00,32,32 m,WHITE,32.0,OK,CYPRUS SUMMER GAMES 2014,Depth Competition,2014-06-29,other,2014-06-29,Adriana Gabriela Bantu-Dinu,ROU,6,8,2
34,Adriana Gabriela Bantu-Dinu (ROU),2.0,1.0,,00:00,23,23 m,WHITE,23.0,OK,CYPRUS SUMMER GAMES 2014,Depth Competition,2014-06-29,other,2014-06-29,Adriana Gabriela Bantu-Dinu,ROU,6,9,1
12,Adriana Gabriela Bantu-Dinu (ROU),2.0,2.0,,00:00,35,35 m,WHITE,35.0,OK,Cavo Maris 2014,Mixed Competition,2014-08-21,other,2014-08-21,Adriana Gabriela Bantu-Dinu,ROU,8,10,3
13,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,44,44 m,WHITE,44.0,OK,Cavo Maris 2014,Mixed Competition,2014-08-21,other,2014-08-21,Adriana Gabriela Bantu-Dinu,ROU,8,11,7
