,onehotencoder__Gender_F,onehotencoder__Gender_M,onehotencoder__Discipline_CNF,onehotencoder__Discipline_CWT,onehotencoder__Discipline_CWTB,onehotencoder__Discipline_FIM,onehotencoder__Card_RED,onehotencoder__Card_WHITE,onehotencoder__Card_YELLOW,onehotencoder__Event Type_Competition,onehotencoder__Event Type_Depth Competition,onehotencoder__Event Type_Mixed Competition,onehotencoder__Event Type_Pool Competition,onehotencoder__Event Type_Team Competition,onehotencoder__Event Type_World Championship,onehotencoder__Event Type_Worldrecord attempt,remainder__Diver,remainder__AP,remainder__RP,remainder__Points,remainder__Remarks,remainder__Day,remainder__Month,remainder__Experience Dive,remainder__Experience Discipline,remainder__Country
36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frederic Taisne (FRA),0,50,50.0,OK,1999-01-01,1,0,0,FRA
37,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Strömberg (SWE),0,51,51.0,OK,1999-01-01,1,0,0,SWE
38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Miriam Lambert (CZE),0,26,26.0,OK,1999-01-01,1,0,0,CZE
39,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Michel Pardon (FRA),0,53,53.0,OK,1999-01-01,1,0,0,FRA
40,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Oliver Heuleu (FRA),0,54,54.0,OK,1999-01-01,1,0,0,FRA
41,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Chapuis (FRA),0,58,58.0,OK,1999-01-01,1,0,0,FRA
42,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Benjamin Franz (DEU),0,53,53.0,OK,1999-01-01,1,0,0,DEU
43,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexandra Louzine (CZE),0,41,41.0,OK,1999-01-01,1,1,1,CZE
44,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gaspare Battaglia (ITA),0,52,52.0,OK,1999-01-01,1,0,0,ITA
45,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hubert Maier (DEU),0,50,50.0,OK,1999-01-01,1,0,0,DEU
46,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pierre Frolla (MCO),0,72,72.0,OK,1999-10-03,10,1,0,MCO
47,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Umberto Pelizzari (ITA),80,80,80.0,OK,1999-10-18,10,2,2,ITA
48,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Brett Le Master (USA),81,81,81.0,OK,1999-11-12,11,1,1,USA
49,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Fattah (CAN),0,63,63.0,OK,2000-01-01,1,0,0,CAN
50,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrik Musimu (BEL),0,60,60.0,OK,2000-01-01,1,0,0,BEL
51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Carlos Coste (VEN),0,57,57.0,OK,2000-01-01,1,0,0,VEN
52,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Georges Bryan-Orr (GBR),0,58,58.0,OK,2000-01-01,1,0,0,GBR
53,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Anne-Marie Kitchen-Wheeler (GBR),0,36,36.0,OK,2000-01-01,1,0,0,GBR
54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Delphine Marleux (FRA),0,44,44.0,OK,2000-01-01,1,0,0,FRA
55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Amanda Williams (GBR),0,32,32.0,OK,2000-01-01,1,0,0,GBR
56,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Laura Tuominen (FIN),0,31,31.0,OK,2000-01-01,1,0,0,FIN
57,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mandy-Rae Cruickshank/Krack (CAN),0,36,36.0,OK,2000-01-01,1,0,0,CAN
58,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ronald Laurens (VEN),0,55,55.0,OK,2000-01-01,1,0,0,VEN
